exercise,equipment,difficulty,link,img_link,video_link,step
Machine Hamstring Curl,Machine,Beginner,https://musclewiki.com/Machine/Male/Hamstrings/Machine-Hamstring-Curl,https://www.musclewiki.com/media/uploads/ProneLegCurl-Back-021316.gif,https://www.youtube.com/watch?v=KXYwW0v9gpM%7C,"1. 기계에 내려 놓고 다리를 패딩 레버 아래에 놓습니다.패딩 된 레버가 분만 근육 아래에 있도록 다리를 배치하십시오.
2. 기계의 측면 손잡이를 잡아서 자신을 지원하고 다리로 천천히 체중을 높이고 발가락이 똑바로 향하게됩니다.
3. 움직임의 정점에서 일시 중지 한 다음 천천히 시작 위치로 돌아갑니다."
Kettlebell Deadlift,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Hamstrings/Kettlebell-Deadlift,https://www.musclewiki.com/media/uploads/kettlebell-male-deadlift-front_Omfp4bo.gif,https://youtu.be/Cenw3VFlmWc,"1. 발을 어깨 너비와 함께 허벅지 앞쪽에 양손으로 잡고있는 것입니다.
2. 엉덩이를 앞으로 구부려 케틀벨을 바닥으로 가져 오는 동안 무릎을 약간 구부리고 등을 똑바로 유지하십시오.
3. 서있는 위치로 돌아가서 반복하십시오."
Staggered Deadlift,Kettlebells,Beginner,https://musclewiki.com/Kettlebells/Male/Hamstrings/Staggered-Deadlift,https://www.musclewiki.com/media/uploads/kettlebell-male-staggereddeadlift-front.gif,https://youtu.be/sjeoL90gh-A,"1. 발을 어깨 너비로두고 한 발을 뒤로 움직입니다.케틀벨을 허벅지 앞에서 양손으로 잡으십시오.
2. 무릎을 약간 구부리고 등을 똑바로 유지하는 동안 케틀벨을 바닥으로 가져 오는 엉덩이를 앞으로 구부립니다.
3. 직립 위치로 돌아가서 반복하십시오."
Hamstrings Stretch Variation Four,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Hamstrings/Hamstrings-Stretch-Variation-Four,https://www.musclewiki.com/media/uploads/male-strech-25-front_52zZrMK.gif,https://youtu.be/FNPn7zd_HY4,"1. 다리를 앞에 놓고 바닥에 앉으십시오.
2. 발가락을 만지려면 앞으로 나아가십시오.갈 수있는 한 앞으로 나아갈 수 있습니다.
3. 스트레치를 몇 초 동안 잡고 시작 위치로 돌아갑니다."
Hamstrings Stretch Variation Three,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Hamstrings/Hamstrings-Stretch-Variation-Three,https://www.musclewiki.com/media/uploads/male-strech-26-front.gif,https://youtu.be/MD903_L80HM,"1. 한쪽 다리가 뻗은 상태에서 바닥에 앉아 있고 다른 하나는 무릎에서 구부러지고 발은 반대쪽 내부 허벅지에 놓여 있습니다.
2. 앞으로 뻗은 다리의 발가락을 만지십시오.
3. 스트레치를 몇 초 동안 잡고 시작 위치로 돌아갑니다."
Hamstrings Stretch Variation Two,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Hamstrings/Hamstrings-Stretch-Variation-Two,https://www.musclewiki.com/media/uploads/male-strech-27-front.gif,https://youtu.be/BNMW-IbFBuw,"1. 앞다리를 똑바로 유지하면서 뒷다리를 최대한 많이 구부립니다.
2. 스트레치를 몇 초 동안 잡고 시작 위치로 돌아갑니다.
3. 한 발로 다른 발로 서십시오."
Hamstrings Stretch Variation One,Stretches,Beginner,https://musclewiki.com/Stretches/Male/Hamstrings/Hamstrings-Stretch-Variation-One,https://www.musclewiki.com/media/uploads/male-strech-28-front.gif,https://youtu.be/xChPnUS2qDM,"1. 다리가 벽에 닿는 곳에 누워 있습니다.당신의 부랑자는 바닥에서 약간 떨어져 있어야합니다.
2. 한쪽 다리를 구부리고 다른 다리를 뻗은다.
3. 허벅지를 벽쪽으로 밀어 넣으십시오.
4. 스트레치를 몇 초 동안 잡고 시작 위치로 돌아갑니다."
Good Mornings,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Hamstrings/Good-Mornings,https://www.musclewiki.com/media/uploads/bodyweight-male-goodmornings-front.gif,https://youtu.be/Zd_1yd6VtiA,"1. 무릎에 약간의 구부러져 어깨 너비를 약간 지나친 발로 발을 서십시오.머리 뒤에 손을 넣으십시오.
2. 등을 똑바로 유지하고 엉덩이를 돌려서 어깨를 바닥으로 내립니다.가슴이 바닥과 평행 할 때 멈추십시오."
Kickbacks,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Hamstrings/Kickbacks,https://www.musclewiki.com/media/uploads/bodyweight-male-glutekickback-front.gif,https://youtu.be/qUMeeIxJLwU,"1. 네 발로 내려 가서 어깨와 무릎을 엉덩이 아래에 놓으십시오.
2. 한쪽 다리로 걷어차 고 둔부를 짜십시오.
3. 무릎을 굽히고 다리를 낮추어 천천히 시작 위치로 돌아갑니다.
4. 스위치 다리.반복하다."
Single Legged Romanian Deadlifts,Bodyweight,Beginner,https://musclewiki.com/Bodyweight/Male/Hamstrings/Single-Legged-Romanian-Deadlifts,https://www.musclewiki.com/media/uploads/bodyweight-male-single-leg-romainian-deadlift-front.gif,https://youtu.be/gb3VAvmhW84,"1. 발을 어깨 너비로 떨어 뜨리고 무릎을 약간 구부리고 다리를 들어 올리십시오.
2. 무릎의 굽힘을 바꾸지 않고 엉덩이를 구부리고 바닥과 거의 평행 할 때까지 몸통을 낮추십시오.
3. 둔부를 긴장시킨 다음 시작 위치로 돌아갑니다."
Pull Through,Cables,Beginner,https://musclewiki.com/Cables/Male/Hamstrings/Pull-Through,https://www.musclewiki.com/media/uploads/cable-male-pullthrough-side.gif,https://youtu.be/XkbWQxxop24,"1.이 운동은 로프 부착물로 가장 잘 작동하지만 무엇이든 할 수 있습니다.부착물은 기계의 바닥으로 설정해야합니다.
2. 케이블 기계에서 멀어지고 케이블 자체를 가로 질러 부착물을 잡습니다.
3. 몇 걸음 더 걸어갑니다.
4. 평평한 등과 대부분의 무릎을 유지하면서 엉덩이를 끊습니다.
5. 서있는 위치로 돌아올 때까지 엉덩이를 앞으로 밀어 넣습니다."
Good Morning,Band,Beginner,https://musclewiki.com/Band/Male/Hamstrings/Good-Morning,https://www.musclewiki.com/media/uploads/band-male-goodmorning-front.gif,https://youtu.be/u6QU-NFU9UY,"1. 밴드를 엉덩이 수준에서 정박하십시오.밴드가 팽팽해질 때까지 몇 걸음 떨어져 있습니다.
2. 햄스트링에서 스트레칭을 느낄 때까지 등을 평평하게 유지하면서 엉덩이를 뒤로 밀어 넣으십시오."
Pullthrough,Band,Beginner,https://musclewiki.com/Band/Male/Hamstrings/Pullthrough,https://www.musclewiki.com/media/uploads/band-male-pullthrough-side.gif,https://youtu.be/guTWXeyDPQc,"1. 밴드를 가능한 가장 낮은 지점으로 정박하십시오.밴드를 달린 다음 양손으로 잡습니다.
2. 밴드가 팽팽해질 때까지 몇 걸음 떨어져 있습니다.
3. 햄스트링에서 스트레칭을 느낄 때까지 엉덩이를 뒤로 밀어 넣으십시오.그런 다음 엉덩이를 다시 시작 위치로 확장하십시오."
DB Glute Bridge,Dumbbells,Beginner,https://musclewiki.com/Dumbbells/Male/Quads/DB-Glute-Bridge,https://www.musclewiki.com/media/uploads/male-dumbbell-glute-bridge-side.gif,https://youtu.be/aV4Kje5Bv-0,"1. 양 발을 심고 땅에 평평하게 놓으십시오.발 뒤꿈치를 바닥에 붙이십시오.
2. 아령을 엉덩이에 놓습니다.둔부가 계약을 느낄 때까지 엉덩이를 천장으로 밀어 넣으십시오.
3. 그런 다음 바닥으로 돌아갑니다."
